127.0.0.1 - - [09/Sep/2018:23:54:44 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/index.html HTTP/1.1" 200 11247
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:45 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:55 +0100] "GET /ExerciciosProgramacao/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:55 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:54:56 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/HTML5_Logo.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/js3.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/php.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/css.png HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/java.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:07 +0100] "GET /ExerciciosProgramacao/Imagens/c.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:12 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:13 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:14 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:19 +0100] "DELETE /ExerciciosProgramacao/rest/exercises/oi HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:31 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Sep/2018:23:55:33 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 512
