0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:00:03 +0100] "GET /ExerciciosProgramacao/rest/exercises/?user=teste HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:00:08 +0100] "GET /ExerciciosProgramacao/rest/exercises/?user=anocas HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:00:13 +0100] "GET /ExerciciosProgramacao/rest/exercises/?user=Lipe HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:02:58 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 200 11831
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:02:58 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:02:58 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:00 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:00 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:13 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=asdas&title=asd&Explicacao=asd&txttags=asdasdasd&txtcodigo=asd&txtoutput=asd HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:14 +0100] "POST /ExerciciosProgramacao/rest/exercises HTTP/1.1" 500 4499
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:17 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:17 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:23 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:23 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:23 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:27 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:27 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:37 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=a&title=sd&Explicacao=sad&txttags=asd&txtcodigo=asd&txtoutput=sad HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:03:37 +0100] "POST /ExerciciosProgramacao/rest/exercises HTTP/1.1" 401 14
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:11 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=a&title=sd&Explicacao=sad&txttags=asd&txtcodigo=asd&txtoutput=sad HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:11 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:11 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:28 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=a&title=sd&Explicacao=sad&txttags=asd&txtcodigo=asd&txtoutput=sad HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:28 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:28 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:46 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:46 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:46 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:04:46 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:00 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=as&title=asd&Explicacao=asd&txttags=as&txtcodigo=as&txtoutput=as HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:01 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:01 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:05 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:05 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:15 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:15 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:15 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:28 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:28 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:29 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:29 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:46 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=ui&title=as&Explicacao=asd&txttags=as&txtcodigo=sad&txtoutput=as HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:46 +0100] "POST /ExerciciosProgramacao/rest/exercises HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:48 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:05:48 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:09:48 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 200 11831
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:09:48 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:09:48 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:09:49 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:09:49 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:10:03 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:10:03 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:10:03 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:10:09 +0100] "GET /ExerciciosProgramacao/rest/exercises/?title=ui HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:06 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 200 11831
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:06 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:06 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:08 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:08 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:10 +0100] "GET /ExerciciosProgramacao/rest/exercises/?title=ui HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:11 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:13 +0100] "GET /ExerciciosProgramacao/rest/exercises/?title=ui HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:11:14 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:15 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:15 +0100] "GET /ExerciciosProgramacao/Script/index.js HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:15 +0100] "GET /ExerciciosProgramacao/CSS/estilizacao.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:15 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:15 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:30 +0100] "POST /ExerciciosProgramacao/rest/users/auth HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:30 +0100] "GET /ExerciciosProgramacao/Snippets.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:30 +0100] "GET /ExerciciosProgramacao/rest/users HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:30 +0100] "GET /ExerciciosProgramacao/rest/exercises HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [13/Sep/2018:00:12:43 +0100] "GET /ExerciciosProgramacao/AdicionarExercicios.html?txttitle=Ola+ana&title=asd&Explicacao=asd&txttags=asd&txtcodigo=asd&txtoutput=asd HTTP/1.1" 200 6275
